sentence_id,original_text,falc_text,falc
1,"Léa, pourquoi es-tu triste ? Ce matin, Clément se réveille tout content. Aujourd'hui, c'est l'anniversaire de sa petite sœur Léa. Encore en pyjama, il saute de son lit et se précipite vers la chambre de Léa. Il est impatient de lui souhaiter son anniversaire. Arrivé devant sa porte, il frappe doucement avant d'entrer en criant joyeusement: « Bon anniversaire, petite sœur ! » Léa, encore un peu endormie, ouvre un œil. La petite fille a eu du mal à trouver le sommeil cette nuit. C'est pourquoi, ce matin elle est vraiment très fatiguée. Elle aurait voulu se reposer encore un peu. À la place, son frère n'arrête pas de sautiller devant elle en répétant gaiement : « Tu es grande maintenant! ».","Léa est triste Ce matin, Clément est tout content. C'est l'anniversaire de sa sœur Léa. Clément entre dans la chambre de Léa. « Bon anniversaire, petite sœur ! Tu as 8 ans aujourd'hui. Tu es grande maintenant! »","Léa, pourquoi tu sembles triste aujourd'hui ? Ce matin, Clément se réveille heureux. C'est l'anniversaire de ta petite sœur Léa ! Il saute de son lit et court vers ta chambre. Il est impatient de te souhaiter bon anniversaire. Il frappe doucement à la porte avant d'entrer en criant joyeusement : ""Bon anniversaire, ma petite sœur !"" Léa ouvre un œil. Elle a eu du mal à dormir cette nuit. C'est pourquoi, ce matin, elle est vraiment fatiguée. Elle aurait voulu se reposer encore un peu. Mais son frère ne s'arrête pas de sauter devant elle en répétant gaiement : ""Tu es grande maintenant !"""
2,"Clément ne comprend pas l'attitude étrange de sa sœur car lui adore les fêtes d'anniversaire. Les cadeaux, les surprises, les jeux, les bougies, il aime tout ce qui fait de cette journée, une journée spéciale. Il se souvient de la fête d'anniversaire de son ami Maxime. Ses parents avaient organisé une chasse au trésor à travers tout le parc de jeu qui se situait derrière sa maison. Clément avait adoré. Quand la journée fut finie, il était reparti avec un petit sachet de bonbons et il l'avait partagé avec sa sœur. Elle l'avait remercié de sa gentillesse avec un sourire. Pas comme ce matin… Ce qui l'avait le plus marqué, durant cette fameuse fête, c'était le gâteau. Clément n'avait jamais vu un gâteau de la sorte : un gâteau en forme de château fort avec des chevaliers en armure qui se tenaient près du pont-levis et des bougies qui surplombaient les tours.",Clément est heureux. Clément aime les fêtes d'anniversaire. Il aime surtout les gâteaux d'anniversaire. Les gâteaux d'anniversaire sont très beaux. On met de jolies bougies sur le gâteau. « Superbe ! Toutes ces petites lumières! »,"Clément ne comprend pas pourquoi sa sœur est si froide aujourd'hui, car il aime les fêtes d'anniversaire. Il aime les cadeaux, les surprises, les jeux, les bougies et tout ce qui fait de cette journée, une journée spéciale. Il se souvient de la fête d'anniversaire de son ami Maxime. Ses parents avaient organisé une chasse au trésor dans le parc de jeu derrière leur maison. Clément a aimé beaucoup. Quand la journée était finie, il est retourné avec un petit sac de bonbons et il les a partagés avec sa sœur. Elle l'a remercié de sa gentillesse avec un sourire. Mais ce matin, c'est différent... Ce qui l'a le plus marqué, lors de cette fête, c'était le gâteau. Clément n'avait jamais vu un gâteau de la sorte : un gâteau en forme de château fort avec des chevaliers en armure près du pont-levis et des bou"
3,"Les courses sans Lila Pendant une bonne partie de la matinée, Clément, Léa et maman cherchent partout. Sous le canapé, dans les caisses de jeux, dans la voiture de maman, aucune trace de Lila nulle part. — Non ma chérie, je ne vois vraiment pas où elle peut être, lui dit doucement maman après avoir cherché dans toute la maison. À ces mots, Léa est encore plus triste. Elle avait espéré retrouver Lila ce matin. Elle ravale un sanglot et fait tout pour que ses larmes ne coulent pas le long de ses joues.","Les courses sans Lila Clément, Léa et maman cherchent Lila dans toute la maison. Pas de trace de Lila. Léa est très triste. Mais elle ne pleure pas.","Lila manquait toute la matinée. Clément, Léa et maman ont cherché partout : sous le canapé, dans les caisses de jouets, dans la voiture de maman. Aucune trace de Lila n'a été trouvée.

Maman a dit doucement à Léa : ""Ma chérie, je ne vois pas où elle peut être."" Léa était plus triste encore. Elle avait espéré retrouver Lila ce matin. Elle a pris un grand souffle et a essayé de contenir ses larmes qui voulaient couler le long de ses joues."
4,"La jeune fille tend la main et touche le visage de la poupée à la robe rouge du bout des doigts. — J'ai une poupée qui te ressemble, lui chuchotet-elle. Elle s'appelle Lila et elle est très gentille. Je suis certaine que si vous vous connaissiez vous pourriez être amies toutes les deux. Quelques larmes finissent par apparaître aux coins des yeux de Léa. Elle les sèche avec le dos de sa main. Elle s'est déjà attardée trop longtemps ici, il faut qu'elle aille retrouver sa mère et Clément.","« Tu es jolie avec ta robe rouge. Tu ressembles à ma poupée Lila. Ma poupée Lila a une robe bleue. Elle est très gentille. Tu pourrais être son amie. J'ai perdu ma poupée Lila. Je suis très triste. Elle me manque beaucoup. Au revoir, jolie poupée. Je dois partir. Clément et maman vont s'inquiéter. »","La petite fille étend la main et touche le visage de la poupée rouge. — J'ai une poupée qui ressemble à toi, elle dit. Elle s'appelle Lila et elle est gentille. Je pense que si tu la connaissais, vous pourriez être amies. Des larmes apparaissent aux coins des yeux de Léa. Elle les essuie avec le dos de sa main. Elle a déjà passé trop longtemps ici, elle doit rentrer chercher sa mère et Clément."
5,"Cette fois, le gâteau est bel et bien terminé. Maman se charge de verser la pâte dans un moule en forme d'ours.",Clément et Léa ont fini. Maman verse la pâte dans un joli moule. Un moule en forme d'ours!,Le gâteau est prêt. Maman verse la pâte dans un moule d'ours.
6,"Lorsqu'Émilie entra dans la salle d'examens, sa mère vaccinait un jeune labrador alors que son père mettait à jour, sur son ordinateur portable, la fiche de l'animal. – Papa, maman, on a une urgence ! dit-elle en arrivant et elle leur raconta toute l'histoire. Dès qu'elle en eut terminé avec le labrador, la mère d'Émilie se dirigea vers la salle d'attente pour prévenir les personnes présentes. Mais, quelle ne fut pas sa surprise en constatant que tout le monde était déjà au courant. Grâce à Pierre, ils se montrèrent même très compréhensifs. Aussi, lorsque Dimitri et Nicolas arrivèrent avec le renard, tout était prêt pour opérer l'animal. Nicolas entra dans la salle d'opérations, aussitôt suivi de Dimitri et Émilie. Leur père les arrêta dans leur élan et leur dit en refermant la porte sur eux : – Je suis désolé, les enfants, mais seul Nicolas peut assister à l'opération puisqu'il a l'intention de devenir, lui aussi, vétérinaire.","Émilie entre dans la salle d'examens. La mère d'Émilie fait des vaccins à un chien. « Papa, maman, c'est urgent. Nous avons trouvé un renard blessé. Il faut sauver notre renard. » « Calme-toi, Émilie. Papa et moi allons tout préparer pour opérer ce petit animal blessé. » Dimitri et Nicolas arrivent avec le renard. Tout est prêt pour l'opération. Nicolas aide ses parents car il veut être vétérinaire.","Emilie entra dans la salle d'examens. Sa mère vaccinait un labrador tandis que son père mettait à jour la fiche de l'animal sur son ordinateur portable. ""Papa, maman, il y a une urgence !"" dit-elle en arrivant. Elle leur raconta toute l'histoire. Après, sa mère alla dans la salle d'attente pour prévenir les gens. Mais elle fut surpris de voir que tout le monde était déjà au courant. Grâce à Pierre, ils furent très compréhensifs. Quand Dimitri et Nicolas arrivèrent avec le renard, tout était prêt pour opérer l'animal. Nicolas entra dans la salle d'opérations, suivi de Dimitri et Emilie. Son père les arrêta et leur dit : ""Je suis désolé, les enfants, mais seul Nicolas peut assister à l'opération car il veut devenir vétérinaire aussi."""
7,"Ses parents se regardèrent, réfléchissant quelques minutes à la proposition d'Émilie. Pouvaient-ils lui confier cette importante responsabilité même si elle semblait très motivée et tenait toujours ses promesses ? – C'est d'accord, finit par dire son père. Les trois premiers jours, le renard resta dans une grande cage à l'intérieur même de la salle d'opérations. Émilie venait tous les jours pour s'occuper de lui. Le quatrième jour, sa mère l'ausculta de nouveau. – Il a l'air d'aller mieux, ce petit renard. On va tenter de le remettre en liberté peu à peu.","« C'est important de s'occuper d'un animal malade. » « Je sais, papa. Je ferai très attention. » « Alors, c'est d'accord. » Émilie vient tous les jours pour soigner le renard. Au bout de 4 jours, le renard va mieux. « Tu vas pouvoir amener le renard à la ferme. » « Super ! Merci, maman. »","Emilie's parents looked at each other, thinking about her proposal. Could they trust her with this big responsibility, even though she seemed very motivated and always kept her promises? – Yes, said her father finally. For the first three days, the fox stayed in a big cage inside the operation room. Emilie came every day to take care of him. The fourth day, her mother listened to him again. – The fox seems to be getting better, said his mother. We'll try to let him go free little by little."
8,"Enfin, la lumière diminua d'intensité et la scène s'éclaira de bleu et de rouge. Au milieu d'une fumée blanche apparut soudain la star qu'ils attendaient tous. – C'est Lucas! C'est Lucas! cria Émilie toute excitée en prenant le bras de Nicolas pour lui montrer celui qu'elle attendait depuis des mois. – Êtes-vous prêts ? hurla le chanteur. Alors, la batterie entama la première chanson, bientôt rejointe par la guitare électrique et la basse. Rapidement, l'ambiance devint électrique. La foule dansait, tapait des mains et des pieds. Émilie et ses frères chantaient à pleins poumons, ravis d'assister à ce concert. Au bout de deux heures de spectacle, malgré les cris de la foule et plusieurs rappels, le chanteur déclara : – Merci d'être venus aussi nombreux ce soir ! On a passé une super soirée tous ensemble ! À bientôt! Et il quitta définitivement la scène, marquant ainsi la fin du concert.","Soudain, le chanteur du groupe apparaît dans une fumée blanche. Le concert est top. Tout le public chante et danse. Dimitri, Nicolas et Émilie sont très heureux. Au bout de 2 heures, le concert est terminé. Le chanteur salue le public et quitte la scène.","La lumière s'est faible et la scène s'est éclairée en bleu et rouge. Puis, dans la fumée blanche, la star attendue est apparue : c'était Lucas! Émilie a crié en se saisissant de Nicolas pour le montrer. – Êtes-vous prêts ? a hurlé le chanteur. Alors, la batterie a commencé la première chanson, suivie rapidement par la guitare électrique et la basse. L'ambiance est devenue électrique. La foule dansait, tapait des mains et des pieds. Émilie et ses frères chantaient à pleins poumons, ravis d'assister à ce concert. Après deux heures de spectacle, malgré les cris de la foule et plusieurs rappels, le chanteur a dit : – Merci d'être venus si nombreux ce soir ! On a passé une super soirée ensemble ! À bientôt! Et il est parti définitivement de la scène, marquant ainsi la fin du concert."
9,"Soudain, une forme étrange, sombre et indistincte apparut dans le ciel. Plissant les yeux, Émilie crut voir un aigle. « C'est impossible, se dit-elle, il n'y a pas d'aigle dans la région. » Ce n'était vraiment pas le moment de se demander ce qu'un aigle pouvait bien faire au concert de son groupe préféré car l'animal fonçait droit sur eux, serres en avant. – Baisse-toi, Émilie ! cria son frère. Nicolas appuya alors sur la tête d'Émilie pour l'obliger à se baisser rapidement et l'oiseau referma ses griffes dans le vide, juste au-dessus de sa tête. – Va-t'en ! hurla Nicolas de toutes ses forces, en lui lançant des pierres pour l'effrayer et essayer de le faire fuir. Il toucha la tête de l'aigle mais l'oiseau ne sembla pas avoir peur.","Soudain, un aigle apparaît dans le ciel. L'aigle fonce droit sur Nicolas et Émilie. « Baisse-toi, Émilie ! » Émilie se baisse, juste à temps. L'aigle ne réussit pas à attraper Émilie. Nicolas lance des pierres pour faire fuir l'aigle.","Un oiseau étrange apparut soudain dans le ciel. Il était sombre et indistinct. Émilie pensa qu'il s'agissait d'un aigle. « C'est impossible, pensa-t-elle, il n'y a pas d'aigle ici. » Elle ne devait pas se demander ce que faire d'un aigle au milieu de son concert préféré. L'oiseau volait droit vers eux, griffes en avant. – Baisses-toi, Émilie ! cria son frère Nicolas. Il poussa sur la tête d'Émilie pour la faire basculer rapidement. L'oiseau referma ses griffes juste au-dessus de sa tête. – Va-t'en ! hurla Nicolas en lui jetant des pierres pour l'effrayer et l'en chasser. Il toucha la tête de l'oiseau mais il ne sembla pas avoir peur."
10,"À l'orée du bois, Émilie remarqua que le ciel avait changé de couleur. Il était désormais nimbé de longues traces orangées, semblables à celles qui zèbrent le ciel lorsque le Soleil se couche. – Émilie, ce que tu vois, ce sont des traces de magie, expliqua Léo. La magie est particulièrement forte au coucher du Soleil, c'est pourquoi les humains peuvent la voir à ce moment-là. Maintenant, grâce à la pierre, tu la verras tout le temps et partout. Léo et Émilie pénétrèrent dans la forêt. Émilie découvrit une forêt bien différente de celle qu'elle connaissait. Les arbres n'étaient pas seulement verts, ils étaient aussi rouges, orange et même parfois violets. Dans l'eau de la rivière, elle sembla apercevoir la forme d'un visage. « Une autre nymphe comme Mélody ? » pensa-t-elle. Le visage lui sourit avant de disparaître sous l'eau.","« Regarde les traces orange dans le ciel. Ce sont des traces de magie. La pierre du Soleil va te faire voir la magie partout et tout le temps. » Léo a raison. Émilie voit dans la forêt : – des arbres rouges ou violets, – un visage dans l'eau.","Dans la forêt, Émilie vit le ciel devenir orange. C'était comme si le Soleil avait laissé des traces sur le ciel avant de s'endormir. Léo dit que c'était de la magie, et que maintenant Émilie pourrait la voir tout le temps grâce à la pierre. Ils entrèrent dans la forêt et Émilie vit des arbres verts, rouges, orange et même violets. Elle pensa qu'elle avait vu un visage dans l'eau de la rivière. Elle pensa à Mélody. Le visage lui souriait avant de disparaître. C'était peut-être une autre nymphe."
11,"Alors qu'ils s'enfonçaient toujours plus profondément dans les bois, Émilie demanda : – Où allons-nous ? – Nous allons voir la reine du monde magique. Je dois te présenter à elle. En outre, elle pourra certainement nous aider à retrouver ton frère, lui répondit-il. Bientôt, ils arrivèrent devant une grotte qu'Émilie n'avait jamais vue auparavant. Sans doute, cette grotte devait être invisible aux humains. Léo y entra sans hésitation. Émilie le suivit. Mais, plus ils avançaient dans la grotte, plus il faisait sombre et bientôt Émilie ne parvint plus à distinguer quoi que ce soit. – Léo, Léo ? appela-t-elle à plusieurs reprises. S'il te plaît, Léo, aide-moi à trouver mon chemin dans le noir. Ce n'est pas drôle. Léo lui répondit: – Prends la pierre du soleil dans ta poche et demandelui de t'aider. Suivant ses conseils, Émilie glissa sa main dans sa poche et en ressortit la pierre. Elle brillait doucement, éclairant la paume de sa main.","« Où allons-nous, Léo ? » « Nous allons voir la reine du monde magique. Notre reine peut nous aider. » Émilie et Léo arrivent devant une grotte. Ils entrent dans la grotte. Il fait tout noir. « J'ai peur dans le noir. » « Sors la pierre du Soleil de ta poche. La pierre du Soleil va t'éclairer.» Émilie prend la pierre du Soleil dans sa main.","Émilie se demandait où ils allaient. Léo répondit : ""Nous allons voir la reine du monde magique. Je dois te présenter à elle. Elle peut peut-être nous aider à retrouver ton frère."" Ils arrivèrent devant une grotte qu'Émilie n'avait jamais vue. Léo entra sans hésiter. Émilie le suivit. Mais, plus ils avançaient, plus il faisait sombre et bientôt Émilie ne pouvait plus voir. Elle appelait Léo : ""Léo, Léo, aide-moi à trouver mon chemin."" Léo lui dit : ""Prends la pierre du soleil dans ta poche et demande-lui d'aider toi."" Émilie prit la pierre et elle commença à éclairer la main de sa main."
12,"Léo et Émilie furent soulagés. Ouf ! Ils étaient en sécurité pour le moment! Ils sortirent de derrière les sacs et se dirigèrent au bout de la ruelle. Arrivés à l'extrémité, Léo poussa quelques branches et un trou sans fond apparut à leurs pieds. Émilie se pencha au-dessus de la fosse et dit: – Ce ne sont quand même pas les… – … Égouts ? Si, si, termina Léo. Si nous voulons nous en sortir, c'est la seule solution. Suis-moi mais fais attention ! On ne sait jamais sur qui on peut tomber dans cet endroit. Tout ceci ne rassurait pas vraiment Émilie. Elle grimaça mais ce n'était pas le moment de jouer les princesses. Elle se glissa donc dans le trou à la suite du renard. Heureusement, la pierre à son cou brillait toujours et lui permettait de voir devant elle. Ils passaient d'un couloir à l'autre. Émilie se demandait bien comment Léo arrivait à se repérer parmi toutes ces galeries toutes plus sales les unes que les autres. Alors qu'ils poursuivaient leur chemin, Émilie finit par poser à Léo la question qui lui brûlait les lèvres depuis qu'ils avaient quitté le palais. – Que s'est-il passé ? Qu'avons-nous fait de mal pour que les loups nous attaquent ainsi ? Tu m'avais bien dit qu'ils n'attaquaient que sur ordre de la reine ?","Ouf ! Émilie et Léo sont sauvés. « Il y a les égouts au bout de la rue. Nous allons passer par les égouts. Les loups ne pourront pas nous suivre. » « Es-tu vraiment sûr ? » « Oui. C'est la seule solution. » « Bon, je te suis. » Émilie et Léo entrent dans les égouts. Il fait tout noir mais la pierre du Soleil éclaire leur chemin. « Pourquoi les loups nous ont-ils attaqués ? »","Léo et Émilie se sentirent soulagés. Ils étaient en sécurité pour l'instant! Ils sortirent de derrière les sacs et marchèrent vers la fin de la ruelle. Arrivés à la fin, Léo poussa quelques branches et un trou sans fond apparut à leurs pieds. Émilie se pencha au-dessus de la fosse et dit: – Ce ne sont pas les égouts, non ? Oui, oui, répondit Léo. Si nous voulons nous en sortir, c'est la seule solution. Suis-moi, mais prends garde ! On ne sait jamais sur qui on peut tomber dans cet endroit. Cela ne rassura pas vraiment Émilie. Elle grimaça mais ce n'était pas le moment de jouer les princesses. Elle se glissa donc dans le trou à la suite du renard. Heureusement, la pierre à son cou brillait toujours et lui permettait de voir devant elle. Ils passaient d'un couloir à l'autre. Émilie se demandait comment Léo"
13,"Lorsqu'ils furent tous les deux entièrement recouverts de boue, Léo dessina sur le sol une carte avec ses pattes pour expliquer son plan à Émilie car ils devraient ensuite rester silencieux tout le long de la traversée. Il fit d'abord deux croix et expliqua : – Nous sommes ici et nous devons aller là-bas. Puis, en dessinant un rond, il ajouta : – Les renifleurs sont ici. Enfin, il traça une ligne et conclut : – Cette ligne représente le chemin que nous devrons prendre pour que le vent nous aide à cacher notre odeur. Je pense que tu avais déjà deviné pourquoi nous les appelons ainsi. Émilie commençait à trouver que ce monde magique n'avait rien de drôle : tout d'abord, les loups scorpions, puis les poubelles, les égouts et maintenant, les taupes « renifleuses ». Cependant, elle faisait confiance à Léo et son plan semblait parfait. Les deux complices se mirent à plat ventre et commencèrent à avancer en silence en s'appuyant sur les genoux et les coudes.","Léo dessine une carte sur le sol pour expliquer son plan à Émilie. « Il n'est pas drôle ton monde, Léo. Les loups scorpions, les poubelles, les égouts… Et les taupes renifleuses. » « La reine nous a prévenus des dangers. Mais fais-moi confiance. » « OK, je te suis. » Émilie et Léo se couchent sur le ventre. Ils avancent tout doucement sans faire de bruit.","Léo dessina sur le sol une carte pour expliquer son plan à Émilie. Il fit deux croix pour montrer leur position et une boule pour indiquer où les renifleurs étaient. Puis, il dessina une ligne pour montrer le chemin qu'ils devraient suivre pour que le vent les cache. Léo pensait que son plan était bon. Émilie commençait à trouver que ce monde était étrange : les loups scorpions, les poubelles, les égouts et maintenant, les taupes qui reniflent. Cependant, elle avait confiance en Léo et son plan semblait parfait. Les deux amis se mettent à plat ventre et commencent à avancer en silence en s'appuyant sur les genoux et les coudes."
14,"– Nicolas! Nicolas! appela alors Émilie car elle seule pouvait utiliser les pouvoirs de la pierre du Soleil et parler avec Léo. Nicolas, assis au fond du nid, leva la tête en entendant la voix d'Émilie. Et quelle ne fut pas sa surprise en voyant Léo assis sur le bord du nid. – Mais que faites-vous ici ? demanda Nicolas. Émilie lui répondit simplement: – Nous n'avons pas beaucoup de temps. Il faut qu'on te sorte de là, très vite avant que l'aigle ne revienne. Je t'expliquerai plus tard toute cette histoire. Nicolas essaya de se lever sans y parvenir. – Je crois que ma jambe est cassée, dit-il. Impossible d'escalader le nid avec une jambe cassée ! – Émilie, nous allons encore avoir besoin de l'eau de la fontaine magique ! proposa Léo. Aussitôt, Émilie fouilla dans son sac et donna à Léo la gourde qui contenait le reste de l'eau de la fontaine magique. Celui-ci la prit et grimpa à nouveau sur les épaules d'Émilie avant de sauter dans le nid. – Bois l'eau de la gourde que t'apporte Léo. Fais-moi confiance, elle va guérir ta jambe, cria Émilie à Nicolas.","Nicolas est très surpris de voir Léo. « Que fais-tu là, Léo ?» « Léo et moi sommes venus te chercher. Nous devons nous sauver très vite avant le retour de l'aigle. » « Je ne peux pas bouger. J'ai la jambe cassée. » « Bois l'eau de cette gourde. Fais-moi confiance. Cette eau va guérir ta jambe. »","Nicolas, Émilie est venue pour vous aider. Seul elle peut parler avec Léo et utiliser la pierre du Soleil. Nicolas, assis au fond du nid, a levé la tête à la voix d'Émilie. Il a été surpris de voir Léo sur le bord du nid. ""Qu'est-ce que tu fais ici?"" a demandé Nicolas. Émilie a répondu simplement : ""Nous n'avons pas beaucoup de temps. Tu dois sortir de là, très vite, avant que l'aigle ne revienne. Je te raconterai plus tard toute cette histoire. "" Nicolas a essayé de se lever mais n'a pas pu. ""Ma jambe est cassée,"" a-t-il dit. Il ne peut pas grimper dans le nid avec une jambe cassée ! ""Émilie, nous allons encore avoir besoin de l'eau de la fontaine magique,"" a proposé Léo. Immediatement, Émilie a fouillé dans son sac et a donné à Léo la"
